Location,ParentLocation,PM25_Value,Average_PM25
Kenya,Africa,10.01,29.812282051282054
Mauritius,Africa,10.48,29.812282051282054
Mauritius,Africa,10.48,29.812282051282054
Mauritius,Africa,10.53,29.812282051282054
Namibia,Africa,10.81,29.812282051282054
Mauritius,Africa,11.13,29.812282051282054
Namibia,Africa,11.81,29.812282051282054
Kenya,Africa,12.33,29.812282051282054
Zimbabwe,Africa,12.34,29.812282051282054
Namibia,Africa,12.34,29.812282051282054
Botswana,Africa,12.51,29.812282051282054
Kenya,Africa,12.52,29.812282051282054
Kenya,Africa,12.68,29.812282051282054
Botswana,Africa,12.82,29.812282051282054
Zimbabwe,Africa,13.07,29.812282051282054
Zimbabwe,Africa,13.08,29.812282051282054
Namibia,Africa,13.13,29.812282051282054
Botswana,Africa,13.9,29.812282051282054
Comoros,Africa,14.02,29.812282051282054
Namibia,Africa,14.04,29.812282051282054
South Africa,Africa,14.21,29.812282051282054
Kenya,Africa,14.34,29.812282051282054
Comoros,Africa,14.37,29.812282051282054
Comoros,Africa,14.38,29.812282051282054
Botswana,Africa,14.42,29.812282051282054
Zimbabwe,Africa,14.47,29.812282051282054
United Republic of Tanzania,Africa,14.47,29.812282051282054
Comoros,Africa,14.49,29.812282051282054
Comoros,Africa,14.71,29.812282051282054
Madagascar,Africa,14.73,29.812282051282054
Eswatini,Africa,14.77,29.812282051282054
Botswana,Africa,14.78,29.812282051282054
Zimbabwe,Africa,15.01,29.812282051282054
Eswatini,Africa,15.07,29.812282051282054
United Republic of Tanzania,Africa,15.36,29.812282051282054
Eswatini,Africa,15.71,29.812282051282054
United Republic of Tanzania,Africa,15.93,29.812282051282054
Eswatini,Africa,15.94,29.812282051282054
Mozambique,Africa,15.99,29.812282051282054
Madagascar,Africa,16.02,29.812282051282054
Zambia,Africa,16.1,29.812282051282054
United Republic of Tanzania,Africa,16.12,29.812282051282054
Mozambique,Africa,16.17,29.812282051282054
United Republic of Tanzania,Africa,16.27,29.812282051282054
Seychelles,Africa,16.3,29.812282051282054
Eswatini,Africa,16.35,29.812282051282054
Mozambique,Africa,16.45,29.812282051282054
Madagascar,Africa,16.74,29.812282051282054
Zambia,Africa,16.9,29.812282051282054
Seychelles,Africa,16.96,29.812282051282054
Lesotho,Africa,17.03,29.812282051282054
South Africa,Africa,17.04,29.812282051282054
Zambia,Africa,17.29,29.812282051282054
Lesotho,Africa,17.35,29.812282051282054
Seychelles,Africa,17.44,29.812282051282054
Seychelles,Africa,17.44,29.812282051282054
Mozambique,Africa,17.51,29.812282051282054
Lesotho,Africa,17.6,29.812282051282054
Malawi,Africa,18.18,29.812282051282054
Madagascar,Africa,18.43,29.812282051282054
Mozambique,Africa,18.52,29.812282051282054
Malawi,Africa,18.54,29.812282051282054
Lesotho,Africa,18.55,29.812282051282054
Malawi,Africa,18.57,29.812282051282054
Zambia,Africa,18.85,29.812282051282054
Zambia,Africa,19.43,29.812282051282054
South Africa,Africa,19.75,29.812282051282054
South Sudan,Africa,20.11,29.812282051282054
South Sudan,Africa,20.18,29.812282051282054
Malawi,Africa,20.18,29.812282051282054
Lesotho,Africa,20.41,29.812282051282054
South Sudan,Africa,20.65,29.812282051282054
Malawi,Africa,20.82,29.812282051282054
Ethiopia,Africa,20.87,29.812282051282054
Madagascar,Africa,20.89,29.812282051282054
South Sudan,Africa,21.36,29.812282051282054
South Africa,Africa,21.69,29.812282051282054
Algeria,Africa,21.74,29.812282051282054
Ethiopia,Africa,21.8,29.812282051282054
South Sudan,Africa,21.87,29.812282051282054
Ethiopia,Africa,22.23,29.812282051282054
Algeria,Africa,22.38,29.812282051282054
Eritrea,Africa,22.48,29.812282051282054
Algeria,Africa,22.68,29.812282051282054
Eritrea,Africa,22.74,29.812282051282054
Gabon,Africa,22.76,29.812282051282054
Algeria,Africa,22.85,29.812282051282054
Ethiopia,Africa,22.94,29.812282051282054
Congo,Africa,23.22,29.812282051282054
Angola,Africa,23.35,29.812282051282054
Ethiopia,Africa,23.5,29.812282051282054
Eritrea,Africa,23.55,29.812282051282054
Algeria,Africa,23.75,29.812282051282054
South Africa,Africa,23.78,29.812282051282054
